optimizer,epoch,train_loss,test_acc,time_s,lr
muon,14,0.1014,91.30,1005.6,0.01
muon,15,0.0954,92.06,1077.4,0.01
muon,16,0.0865,91.62,1149.2,0.01
muon,17,0.0818,91.99,1221.1,0.01
muon,18,0.0755,91.91,1292.9,0.01
muon,19,0.0711,90.95,1364.6,0.01
muon,20,0.0696,91.73,1436.5,0.01
muonsam,1,1.0984,73.94,71.8,0.01
muonsam,2,0.5669,81.91,143.7,0.01
muonsam,3,0.4236,84.54,215.4,0.01
muonsam,4,0.3484,85.78,287.3,0.01
muonsam,5,0.2933,88.61,359.1,0.01
muonsam,6,0.2485,89.42,431.0,0.01
muonsam,7,0.2397,89.68,539.2,0.01
muonsam,8,0.2393,89.55,647.8,0.01
muonsam,9,0.2221,91.21,756.2,0.01
muonsam,10,0.1954,90.97,864.9,0.01
muonsam,11,0.1780,91.77,973.3,0.01
muonsam,12,0.1716,92.09,1081.7,0.01
muonsam,13,0.1528,91.91,1190.2,0.01
muonsam,14,0.1456,91.78,1298.7,0.01
muonsam,15,0.1343,92.64,1407.2,0.01
muonsam,16,0.1226,92.16,1515.6,0.01
muonsam,17,0.1159,92.87,1624.1,0.01
muonsam,18,0.1069,93.19,1732.6,0.01
muonsam,19,0.1009,92.84,1841.0,0.01
muonsam,20,0.0957,93.60,1949.5,0.01
adamw,1,1.3274,60.46,47.8,0.001
adamw,2,0.8720,71.50,95.4,0.001
adamw,3,0.6797,72.22,143.3,0.001
adamw,4,0.5733,78.12,191.0,0.001
adamw,5,0.5033,80.03,238.6,0.001
adamw,6,0.4407,83.95,286.1,0.001
adamw,7,0.4001,84.28,333.6,0.001
adamw,8,0.3648,85.30,381.4,0.001
adamw,9,0.3383,86.08,429.2,0.001
adamw,10,0.3038,87.99,477.1,0.001
adamw,11,0.2829,85.82,524.8,0.001
adamw,12,0.2639,87.68,572.5,0.001
adamw,13,0.2443,87.40,620.1,0.001
adamw,14,0.2279,85.62,667.6,0.001
adamw,15,0.2141,88.80,715.4,0.001
adamw,16,0.1922,89.06,763.1,0.001
adamw,17,0.1890,89.47,811.0,0.001
adamw,18,0.1674,90.32,858.4,0.001
adamw,19,0.1605,90.13,906.1,0.001
adamw,20,0.1500,89.02,953.7,0.001
muon,1,1.0474,74.06,71.8,0.02
muon,2,0.5516,80.98,143.7,0.02
muon,3,0.4189,82.91,215.6,0.02
muon,4,0.3457,86.59,287.5,0.02
muon,5,0.2907,88.06,359.4,0.02
muon,6,0.2458,89.50,431.1,0.02
muon,7,0.2156,89.80,503.1,0.02
muon,8,0.1903,89.16,575.1,0.02
muon,9,0.1705,90.46,646.8,0.02
muon,10,0.1480,90.97,718.8,0.02
muon,11,0.1297,91.29,790.7,0.02
muon,12,0.1259,91.18,862.6,0.02
muon,13,0.1078,91.10,934.5,0.02
muon,14,0.0998,91.32,1006.3,0.02
muon,15,0.0945,91.89,1078.1,0.02
muon,16,0.0873,91.07,1149.8,0.02
muon,17,0.0830,92.00,1221.6,0.02
muon,18,0.0732,92.08,1293.4,0.02
muon,19,0.0700,91.76,1365.2,0.02
muon,20,0.0686,92.78,1436.9,0.02
muonsam,1,1.0415,74.00,71.8,0.02
muonsam,2,0.5506,81.75,143.6,0.02
muonsam,3,0.4175,85.00,215.3,0.02
muonsam,4,0.3400,87.06,287.2,0.02
muonsam,5,0.2903,88.86,359.0,0.02
muonsam,6,0.2488,89.45,431.0,0.02
muonsam,7,0.2324,90.68,539.3,0.02
muonsam,8,0.2357,90.41,647.9,0.02
muonsam,9,0.2167,91.39,756.3,0.02
muonsam,10,0.1868,90.51,864.8,0.02
muonsam,11,0.1735,92.06,973.2,0.02
muonsam,12,0.1609,91.82,1081.7,0.02
muonsam,13,0.1431,92.42,1190.3,0.02
muonsam,14,0.1383,92.11,1298.7,0.02
muonsam,15,0.1287,92.29,1407.2,0.02
muonsam,16,0.1186,92.14,1515.6,0.02
muonsam,17,0.1109,92.95,1623.7,0.02
muonsam,18,0.0997,92.67,1732.1,0.02
muonsam,19,0.0990,93.16,1840.5,0.02
muonsam,20,0.0875,93.26,1949.0,0.02
